City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,gaoping,30.7758,106.1029,83.5,46,100,3.91,CN,1686448042
1,stanley,54.868,-1.6985,52.7,94,0,2.3,GB,1686447763
2,thompson,55.7435,-97.8558,73.56,25,20,10.36,CA,1686448025
3,port-aux-francais,-49.35,70.2167,39.33,67,99,30.56,TF,1686448028
4,dhana,23.75,78.85,91.89,30,52,17.81,IN,1686448044
5,cabo san lucas,22.8909,-109.9124,88.9,67,3,15.1,MX,1686448005
6,t'aebaek,37.1759,128.9889,73.18,58,4,2.06,KR,1686448045
7,kolwezi,-10.7148,25.4667,56.61,59,32,4.05,CD,1686448045
8,bilibino,68.0546,166.4372,69.24,19,0,10.87,RU,1686448045
9,saint croix,17.7397,-64.7388,81.05,78,20,8.05,VI,1686447933
10,touros,-5.1989,-35.4608,75.33,86,8,11.07,BR,1686448042
11,avarua,-21.2078,-159.775,78.85,83,20,5.75,CK,1686448046
12,bethel,41.3712,-73.414,66.63,70,0,3.44,US,1686447846
13,potam,27.6,-110.3833,85.82,34,1,8.37,MX,1686448047
14,grytviken,-54.2811,-36.5092,31.95,95,96,7.65,GS,1686448047
15,estacion coahuila,32.1939,-115.0017,85.23,26,1,12.73,MX,1686448048
16,blackmans bay,-43.0167,147.3167,59.74,65,61,6.49,AU,1686448048
17,college,64.8569,-147.8028,69.75,36,75,6.91,US,1686448049
18,puerto natales,-51.7236,-72.4875,40.84,75,100,15.17,CL,1686448037
19,gao,16.6362,1.637,85.21,45,91,7.72,ML,1686448050
20,mount pearl,47.5166,-52.7813,47.14,95,100,12.66,CA,1686448050
21,puri,19.8,85.85,84.72,77,100,8.77,IN,1686448051
22,kiunga,-6.1219,141.2906,83.91,69,78,4.34,PG,1686448051
23,vilyuchinsk,52.9306,158.4028,70.07,49,22,6.04,RU,1686448052
24,tazovsky,67.4667,78.7,50.52,47,100,18.12,RU,1686448052
25,ad dawadimi,24.5077,44.3924,85.35,15,86,7.85,SA,1686448052
26,atafu village,-8.5421,-172.5159,83.79,76,60,11.05,TK,1686448047
27,bandarban,22.1965,92.2262,80.31,78,100,2.89,BD,1686448055
28,ust-nera,64.5667,143.2,65.26,43,100,6.42,RU,1686447855
29,ushuaia,-54.8,-68.3,35.26,80,75,21.85,AR,1686448024
30,longyearbyen,78.2186,15.6401,42.64,75,75,10.36,SJ,1686448056
31,port mathurin,-19.6833,63.4167,75.36,78,57,21.47,MU,1686448056
32,udachny,66.4167,112.4,43.45,100,100,24.09,RU,1686448057
33,kerikeri,-35.2268,173.9474,62.91,71,52,4.59,NZ,1686448041
34,khovd,48.0056,91.6419,79.7,22,1,1.01,MN,1686448057
35,waitangi,-43.9535,-176.5597,55.81,81,100,3.0,NZ,1686448058
36,o barco de valdeorras,42.4164,-6.9901,61.39,94,5,1.7,ES,1686448058
37,heihe,50.2441,127.4902,73.98,56,4,3.24,CN,1686448058
38,ribeira grande,38.5167,-28.7,61.77,78,21,4.0,PT,1686448058
39,lihue,21.9789,-159.3672,83.44,71,20,12.66,US,1686447877
40,north side,19.35,-81.2,84.27,84,20,8.05,KY,1686448059
41,le port,-20.9373,55.2919,71.6,91,23,7.49,RE,1686448060
42,nong khai,17.9167,103.0833,87.06,80,92,5.46,TH,1686448060
43,pendleton,45.6721,-118.7886,80.83,42,0,5.99,US,1686448061
44,nadvoitsy,63.8667,34.3167,44.85,69,80,4.65,RU,1686448061
45,san andres,12.5847,-81.7006,84.22,84,40,4.61,CO,1686448062
46,baiao,-2.7906,-49.6717,74.03,91,31,1.23,BR,1686448063
47,puerto ayora,-0.7393,-90.3518,79.56,92,94,11.01,EC,1686448063
48,tiksi,71.6872,128.8694,34.52,88,100,8.25,RU,1686448063
49,kavieng,-2.5744,150.7967,83.77,76,25,11.34,PG,1686448063
50,adamstown,-25.066,-130.1015,69.1,55,76,14.9,PN,1686448064
51,edinburgh of the seven seas,-37.0676,-12.3116,59.77,89,26,19.01,SH,1686448027
52,saint-philippe,-21.3585,55.7679,71.19,77,43,12.19,RE,1686448065
53,todabhim,26.9167,76.8167,95.02,27,0,18.84,IN,1686448065
54,yuzhno-kurilsk,44.0306,145.8556,55.02,85,79,8.5,RU,1686448065
55,fuyuan,46.4333,127.0833,74.34,47,100,8.79,CN,1686448066
56,kruisfontein,-34.0033,24.7314,52.99,48,0,8.41,ZA,1686448055
57,birzebbuga,35.8258,14.5269,71.15,94,66,5.75,MT,1686448067
58,bredasdorp,-34.5322,20.0403,50.59,80,8,4.0,ZA,1686448067
59,margaret river,-33.95,115.0667,55.85,61,100,19.82,AU,1686448069
60,hamilton,39.1834,-84.5333,74.25,48,20,5.75,US,1686448026
61,daru,-9.0763,143.2092,80.19,83,49,15.26,PG,1686448070
62,hermanus,-34.4187,19.2345,55.8,74,4,6.2,ZA,1686448037
63,iqaluit,63.7506,-68.5145,35.33,74,75,12.66,CA,1686447989
